"Regionale kerncijfers Nederland"
""
"";"";""
"Onderwerp";"Regio's";"Perioden";"";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2007";"aantal";"347800"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2008";"aantal";"333460"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2009";"aantal";"364520"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2010";"aantal";"394090"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2011";"aantal";"404670"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2012";"aantal";"417720"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2013";"aantal";"453920"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2014";"aantal";"478110"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2015";"aantal";"497830"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2016";"aantal";"517840"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2017";"aantal";"510750"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2018";"aantal";"484530"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2019";"aantal";"465300"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Nederland";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2007";"aantal";"17600"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2008";"aantal";"16590"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2009";"aantal";"17990"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2010";"aantal";"19440"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2011";"aantal";"20050"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2012";"aantal";"20850"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2013";"aantal";"22830"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2014";"aantal";"23690"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2015";"aantal";"24240"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2016";"aantal";"25000"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2017";"aantal";"24850"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2018";"aantal";"23570"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2019";"aantal";"22910"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Groningen (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2007";"aantal";"12960"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2008";"aantal";"12680"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2009";"aantal";"14230"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2010";"aantal";"15410"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2011";"aantal";"17240"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2012";"aantal";"18680"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2013";"aantal";"20310"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2014";"aantal";"21230"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2015";"aantal";"22100"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2016";"aantal";"23250"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2017";"aantal";"22740"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2018";"aantal";"21260"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2019";"aantal";"20230"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Fryslân (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2007";"aantal";"8870"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2008";"aantal";"8880"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2009";"aantal";"10370"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2010";"aantal";"11240"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2011";"aantal";"11670"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2012";"aantal";"12320"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2013";"aantal";"13320"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2014";"aantal";"13790"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2015";"aantal";"13990"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2016";"aantal";"14360"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2017";"aantal";"14210"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2018";"aantal";"13430"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2019";"aantal";"12900"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) tot AOW-leeftijd";"Drenthe (PV)";"2021";"aantal";""
"Bron: CBS"
